PDU,Latest power,Latest time,Latest result,Monitor status,Status lock,Change time,Reason
dummy_DC1-10-1A1,2184,2024/5/16 3:25,,Enable,,2024/10/5 16:35,Maintenance
dummy_DC1-10-1B2,4086,2024/6/10 23:51,,Enable,,2024/10/5 16:35,
dummy_DC1-10-2A1,Alert,2024/7/5 7:51,Alert,Disable,LOCK,2024/10/05 16:48,
dummy_DC1-13-1A2,4732,2024/2/4 2:27,,Enable,,2024/10/5 16:35,
dummy_DC1-21-1A2,Alert,2024/8/6 19:09,Alert,Disable,,2024/10/05 16:48,Upgrade
dummy_DC1-21-2A1,1565,2024/3/21 10:24,,Enable,,2024/10/5 16:35,Maintenance
dummy_DC1-24-2A2,Alert,2024/2/15 23:33,Alert,Disable,LOCK,2024/10/05 16:48,
dummy_DC1-25-1A1,2859,2024/6/15 2:55,,Enable,,2024/10/5 16:35,Upgrade
dummy_DC1-27-1A1,3950,2024/5/28 14:59,,Enable,,2024/10/5 16:35,Maintenance
dummy_DC1-27-2B1,2737,2024/8/20 1:43,,Enable,,2024/10/5 16:35,Upgrade
dummy_DC1-28-1B1,Alert,2024/1/24 23:30,Alert,Enable,,2024/10/5 16:35,Upgrade
dummy_DC1-29-2A2,3431,2024/9/9 9:53,,Enable,,2024/10/5 16:35,
dummy_DC1-31-1B2,1105,2024/1/14 12:38,,Enable,,2024/10/5 16:35,Upgrade
dummy_DC1-35-2A1,4900,2024/7/15 9:28,,Enable,,2024/10/5 16:35,Upgrade
dummy_DC1-42-1B2,3656,2024/1/25 4:23,,Enable,,2024/10/5 16:35,
dummy_DC1-51-2B1,2579,2024/9/18 21:29,,Enable,,2024/10/5 16:35,Upgrade
dummy_DC1-55-1B2,4007,2024/4/1 6:00,,Enable,,2024/10/5 16:35,Maintenance
dummy_DC1-60-1B1,1754,2024/10/3 2:50,,Enable,,2024/10/5 16:35,Upgrade
dummy_DC1-60-2A2,1263,2024/3/7 22:53,,Enable,,2024/10/5 16:35,
dummy_DC1-61-1B2,2651,2024/3/5 19:54,,Enable,,2024/10/5 16:35,Maintenance
dummy_DC1-63-1A1,2796,2024/3/18 4:13,,Enable,,2024/10/5 16:35,Upgrade
dummy_DC1-65-1B1,4516,2024/6/23 6:34,,Enable,,2024/10/5 16:35,
dummy_DC1-66-1A2,2169,2024/1/7 14:11,,Enable,,2024/10/5 16:35,
dummy_DC1-76-2A2,1236,2024/9/29 10:06,,Enable,,2024/10/5 16:35,Maintenance
dummy_DC1-81-2A2,1528,2024/4/5 4:42,,Enable,,2024/10/5 16:35,Upgrade
dummy_DC1-83-2B2,2364,2024/1/25 8:43,,Enable,,2024/10/5 16:35,Maintenance
dummy_DC1-84-1A2,4997,2024/8/26 2:45,,Enable,,2024/10/5 16:35,
dummy_DC1-86-1A1,4286,2024/3/30 4:46,,Enable,,2024/10/5 16:35,Upgrade
dummy_DC1-86-1A2,1108,2024/1/24 6:00,,Enable,,2024/10/5 16:35,Maintenance
dummy_DC1-86-1B2,4199,2024/1/2 21:26,,Enable,,2024/10/5 16:35,Upgrade
dummy_DC1-88-1A2,1774,2024/8/27 5:28,,Enable,,2024/10/5 16:35,Maintenance
dummy_DC1-91-2A2,3589,2024/9/14 7:58,,Enable,,2024/10/5 16:35,Maintenance
dummy_DC1-91-2A2,3589,2024/9/14 7:58,,Enable,,2024/10/5 16:35,Maintenance
dummy_DC1-91-2A2,3471,2024/2/29 18:16,,Enable,,2024/10/5 16:35,Maintenance
dummy_DC1-91-2A2,3471,2024/2/29 18:16,,Enable,,2024/10/5 16:35,Maintenance
dummy_DC1-91-2A2,3471,2024/2/29 18:16,,Enable,,2024/10/5 16:35,Maintenance
dummy_DC1-91-2A2,3471,2024/2/29 18:16,,Enable,,2024/10/5 16:35,Maintenance
dummy_DC1-91-2A2,3589,2024/9/14 7:58,,Enable,,2024/10/5 16:35,Maintenance
dummy_DC1-91-2A2,3589,2024/9/14 7:58,,Enable,,2024/10/5 16:35,Maintenance
dummy_DC1-91-2A2,3589,2024/9/14 7:58,,Enable,,2024/10/5 16:35,Maintenance
dummy_DC1-91-2A2,3589,2024/9/14 7:58,,Enable,,2024/10/5 16:35,Maintenance
dummy_DC1-91-2A2,3589,2024/9/14 7:58,,Enable,,2024/10/5 16:35,Maintenance
dummy_DC1-91-2A2,3589,2024/9/14 7:58,,Enable,,2024/10/5 16:35,Maintenance
dummy_DC1-91-2A2,3471,2024/2/29 18:16,,Enable,,2024/10/5 16:35,Maintenance
dummy_DC1-91-2A2,3471,2024/2/29 18:16,,Enable,,2024/10/5 16:35,Maintenance
dummy_DC1-91-2A2,3471,2024/2/29 18:16,,Enable,,2024/10/5 16:35,Maintenance
dummy_DC1-91-2A2,3471,2024/2/29 18:16,,Enable,,2024/10/5 16:35,Maintenance
dummy_DC1-96-1A1,1739,2024/5/6 21:07,,Enable,,2024/10/5 16:35,Upgrade
dummy_DC2-12-1A1,3376,2024/6/10 21:55,,Enable,,2024/10/5 16:35,Maintenance
dummy_DC2-20-1B2,1754,2024/3/14 13:48,,Enable,,2024/10/5 16:35,Maintenance
dummy_DC2-24-2B1,2269,2024/7/15 0:48,,Enable,,2024/10/5 16:35,Upgrade
dummy_DC2-24-2B2,1511,2024/5/4 0:45,,Enable,,2024/10/5 16:35,
dummy_DC2-26-1B1,Alert,2024/2/25 17:21,Alert,Enable,,2024/10/5 16:35,Maintenance
dummy_DC2-28-1A1,4712,2024/7/10 6:15,,Enable,,2024/10/5 16:35,Upgrade
dummy_DC2-29-1A2,4012,2024/3/18 9:36,,Enable,,2024/10/5 16:35,Upgrade
dummy_DC2-30-1B2,2088,2024/1/14 15:44,,Enable,,2024/10/5 16:35,Maintenance
dummy_DC2-36-2B1,Alert,2024/6/3 11:03,Alert,Disable,,2024/10/05 16:48,Upgrade
dummy_DC2-38-2B2,2586,2024/7/12 5:41,,Enable,,2024/10/5 16:35,
dummy_DC2-45-1B1,2662,2024/3/31 5:11,,Enable,,2024/10/5 16:35,
dummy_DC2-50-1A1,1984,2024/2/26 7:39,,Enable,,2024/10/5 16:35,
dummy_DC2-51-1B2,3222,2024/3/5 10:05,,Enable,,2024/10/5 16:35,Maintenance
dummy_DC2-52-2A1,3321,2024/6/15 12:34,,Enable,,2024/10/5 16:35,
dummy_DC2-55-2A2,3802,2024/3/10 11:57,,Enable,,2024/10/5 16:35,Maintenance
dummy_DC2-57-1B2,3286,2024/7/8 2:52,,Enable,,2024/10/5 16:35,Upgrade
dummy_DC2-60-1A2,3025,2024/2/25 23:03,,Enable,,2024/10/5 16:35,
dummy_DC2-69-2A1,3957,2024/8/7 5:54,,Enable,,2024/10/5 16:35,
dummy_DC2-72-1A2,4450,2024/8/25 16:30,,Disable,LOCK,2024/10/05 16:48,Upgrade
dummy_DC2-72-1A2,4450,2024/8/25 16:30,,Disable,LOCK,2024/10/05 16:48,Upgrade
dummy_DC2-72-1A2,Alert,2024/2/6 19:35,Alert,Disable,LOCK,2024/10/05 16:48,Upgrade
dummy_DC2-72-1A2,Alert,2024/2/6 19:35,Alert,Disable,LOCK,2024/10/05 16:48,Upgrade
dummy_DC2-72-1A2,Alert,2024/2/6 19:35,Alert,Disable,LOCK,2024/10/05 16:48,Upgrade
dummy_DC2-72-1A2,4450,2024/8/25 16:30,,Disable,LOCK,2024/10/05 16:48,Upgrade
dummy_DC2-72-1A2,4450,2024/8/25 16:30,,Disable,LOCK,2024/10/05 16:48,Upgrade
dummy_DC2-72-1A2,Alert,2024/2/6 19:35,Alert,Disable,LOCK,2024/10/05 16:48,Upgrade
dummy_DC2-72-1A2,Alert,2024/2/6 19:35,Alert,Disable,LOCK,2024/10/05 16:48,Upgrade
dummy_DC2-72-1A2,4450,2024/8/25 16:30,,Disable,LOCK,2024/10/05 16:48,Upgrade
dummy_DC2-72-1A2,4450,2024/8/25 16:30,,Disable,LOCK,2024/10/05 16:48,Upgrade
dummy_DC2-72-1A2,4450,2024/8/25 16:30,,Disable,LOCK,2024/10/05 16:48,Upgrade
dummy_DC2-72-1A2,4450,2024/8/25 16:30,,Disable,LOCK,2024/10/05 16:48,Upgrade
dummy_DC2-72-1A2,Alert,2024/2/6 19:35,Alert,Disable,LOCK,2024/10/05 16:48,Upgrade
dummy_DC2-72-1A2,Alert,2024/2/6 19:35,Alert,Disable,LOCK,2024/10/05 16:48,Upgrade
dummy_DC2-72-1A2,Alert,2024/2/6 19:35,Alert,Disable,LOCK,2024/10/05 16:48,Upgrade
dummy_DC2-74-1B1,4356,2024/3/15 16:42,,Enable,,2024/10/5 16:35,Upgrade
dummy_DC2-76-2B2,2658,2024/1/20 20:19,,Enable,,2024/10/5 16:35,
dummy_DC2-79-2B1,1839,2024/5/14 3:34,,Enable,,2024/10/5 16:35,
dummy_DC2-80-1B2,3682,2024/2/14 8:01,,Enable,,2024/10/5 16:35,
dummy_DC2-84-1A2,1938,2024/1/19 1:30,,Enable,,2024/10/5 16:35,Maintenance
dummy_DC2-84-1B1,3492,2024/7/5 7:04,,Enable,,2024/10/5 16:35,
dummy_DC2-86-1A1,1740,2024/2/6 9:24,,Enable,,2024/10/5 16:35,Upgrade
dummy_DC2-87-1A1,1354,2024/9/4 11:58,,Enable,,2024/10/5 16:35,
dummy_DC2-89-2B2,4619,2024/7/8 13:43,,Enable,,2024/10/5 16:35,
dummy_DC2-89-2B2,3365,2024/9/13 16:34,,Enable,,2024/10/5 16:35,Upgrade
dummy_DC2-89-2B2,3365,2024/9/13 16:34,,Enable,,2024/10/5 16:35,Upgrade
dummy_DC2-89-2B2,4619,2024/7/8 13:43,,Enable,,2024/10/5 16:35,
dummy_DC2-89-2B2,4619,2024/7/8 13:43,,Enable,,2024/10/5 16:35,
dummy_DC2-89-2B2,3365,2024/9/13 16:34,,Enable,,2024/10/5 16:35,Upgrade
dummy_DC2-89-2B2,4619,2024/7/8 13:43,,Enable,,2024/10/5 16:35,
dummy_DC2-89-2B2,3365,2024/9/13 16:34,,Enable,,2024/10/5 16:35,Upgrade
dummy_DC2-89-2B2,3365,2024/9/13 16:34,,Enable,,2024/10/5 16:35,Upgrade
dummy_DC2-89-2B2,3365,2024/9/13 16:34,,Enable,,2024/10/5 16:35,Upgrade
dummy_DC2-89-2B2,3365,2024/9/13 16:34,,Enable,,2024/10/5 16:35,Upgrade
dummy_DC2-89-2B2,4619,2024/7/8 13:43,,Enable,,2024/10/5 16:35,
dummy_DC2-89-2B2,4619,2024/7/8 13:43,,Enable,,2024/10/5 16:35,
dummy_DC2-89-2B2,4619,2024/7/8 13:43,,Enable,,2024/10/5 16:35,
dummy_DC2-89-2B2,4619,2024/7/8 13:43,,Enable,,2024/10/5 16:35,
dummy_DC2-89-2B2,3365,2024/9/13 16:34,,Enable,,2024/10/5 16:35,Upgrade
dummy_DC2-91-1B1,3875,2024/2/16 6:57,,Enable,,2024/10/5 16:35,Maintenance
dummy_DC2-93-1A1,2238,2024/1/1 10:04,,Enable,,2024/10/5 16:35,
dummy_DC2-94-2A1,3025,2024/2/7 1:36,,Enable,,2024/10/5 16:35,Upgrade
dummy_DC3-174-2B1,4567,2024/6/29 6:15,,Enable,,2024/10/5 16:35,
dummy_DC3-275-2B2,1374,2024/1/3 3:10,,Enable,,2024/10/5 16:35,Upgrade
dummy_DC3-289-1A1,1911,2024/10/2 20:45,,Enable,,2024/10/5 16:35,
dummy_DC3-310-2A1,1048,2024/7/2 12:07,,Enable,,2024/10/5 16:35,
dummy_DC3-313-1A2,3046,2024/9/16 8:45,,Enable,,2024/10/5 16:35,Upgrade
dummy_DC3-325-1B2,1497,2024/2/19 7:13,,Enable,,2024/10/5 16:35,Upgrade
dummy_DC3-342-1A1,1224,2024/8/16 21:55,,Enable,,2024/10/5 16:35,
dummy_DC3-342-1A2,4745,2024/6/3 12:00,,Enable,,2024/10/5 16:35,
dummy_DC3-390-2B1,1804,2024/9/12 14:05,,Enable,,2024/10/5 16:35,Upgrade
dummy_DC3-457-2B1,Alert,2024/3/21 6:25,Alert,Disable,LOCK,2024/10/05 16:48,Maintenance
dummy_DC3-521-2A2,4908,2024/3/29 3:02,,Enable,,2024/10/5 16:35,Maintenance
dummy_DC3-523-1B1,4007,2024/2/14 14:56,,Enable,,2024/10/5 16:35,Maintenance
dummy_DC3-537-1A1,1018,2024/5/18 4:43,,Enable,,2024/10/5 16:35,
dummy_DC3-538-1B2,3598,2024/3/16 12:27,,Enable,,2024/10/5 16:35,
dummy_DC3-539-1A1,Alert,2024/4/7 15:51,Alert,Disable,LOCK,2024/10/05 16:48,Maintenance
dummy_DC3-556-2A1,2332,2024/1/6 14:20,,Enable,,2024/10/5 16:35,
dummy_DC3-583-2B2,2880,2024/5/12 18:29,,Enable,,2024/10/5 16:35,Upgrade
dummy_DC3-644-1B2,2257,2024/2/17 17:00,,Enable,,2024/10/5 16:35,
dummy_DC3-645-1B1,2754,2024/10/4 6:04,,Enable,,2024/10/5 16:35,
dummy_DC3-657-2A2,3017,2024/4/23 5:34,,Enable,,2024/10/5 16:35,
dummy_DC3-666-1A2,4576,2024/7/6 3:59,,Enable,,2024/10/5 16:35,Upgrade
dummy_DC3-668-1A2,4091,2024/6/28 20:11,,Enable,,2024/10/5 16:35,Upgrade
dummy_DC3-706-2B1,1090,2024/8/9 13:52,,Enable,,2024/10/5 16:35,
dummy_DC3-720-1B1,1439,2024/10/4 19:09,,Enable,,2024/10/5 16:35,Upgrade
dummy_DC3-738-1B1,Alert,2024/1/12 1:13,Alert,Disable,,2024/10/05 16:48,Maintenance
dummy_DC3-781-2B1,4277,2024/8/11 19:00,,Enable,,2024/10/5 16:35,
dummy_DC3-822-2B1,4442,2024/5/13 8:37,,Enable,,2024/10/5 16:35,Maintenance
dummy_DC3-896-1A1,2412,2024/7/14 6:01,,Enable,,2024/10/5 16:35,
dummy_DC3-942-1A2,4627,2024/5/21 1:56,,Enable,,2024/10/5 16:35,Maintenance
dummy_DC3-963-1B1,2348,2024/8/13 6:43,,Enable,,2024/10/5 16:35,Upgrade
dummy_DC3-977-2A1,2540,2024/8/23 22:25,,Enable,,2024/10/5 16:35,Upgrade
dummy_DC3-989-1B2,2259,2024/1/17 17:38,,Enable,,2024/10/5 16:35,Upgrade
dummy_DC3-996-1A1,3413,2024/5/24 10:09,,Enable,,2024/10/5 16:35,
